"","ID","Timestamp","Interest","ExperienceR","ExperienceOther","OtherLangs","Lab","CollegeYear","MonthBorn","StateBorn","Drinks","Height4","Height5","Height6","LastQuestion","height_clean","soda_clean"
"1",1,"5/6/2025 11:36","Yes",4,3,NA,"Social Origins (Engelmann)","Junior","May","NC","Drinks",NA,"2 in",NA,"No",62,"other"
"2",2,"5/6/2025 16:18","Maybe",1,4,"Python, SQL","Social Origins (Engelmann)","Sophomore","January","GA","glasses full full",NA,"5 in",NA,"Yes",65,"other"
"3",3,"5/6/2025 21:01","Yes",4,4,NA,"CALM and ID","Senior","February","CA","Soda",NA,"10 in",NA,"Yes",70,"soda"
"4",4,"5/7/2025 11:27","Yes",3,3,"Python",NA,"Freshman","November","Other","Soda",NA,"3 in",NA,"No",63,"soda"
"5",5,"5/7/2025 21:54","Yes",3,5,"Python, Java","BELL (Xu)","Freshman","May","CA","soda",NA,"3 in",NA,"No",63,"soda"
"6",6,"5/8/2025 1:00","Yes",3,3,"Python","BELL (Xu)","Junior","May","Other","Soda",NA,"3 in",NA,"Yes",63,"soda"
"7",7,"5/8/2025 7:36","Yes",4,4,"JavaScript, Python","BELL (Xu)","Senior","April","NY","Soda",NA,"7 in",NA,"No",67,"soda"
"8",8,"5/8/2025 9:34","Yes",3,5,"JavaScript, Python, SQL","BELL (Xu)","Junior","June","CA","soda",NA,"6 in",NA,"No",66,"soda"
"9",9,"5/8/2025 11:52","Yes",4,2,NA,"BELL (Xu)","Junior","February","CA","Soda",NA,"6 in",NA,"No",66,"soda"
"10",10,"5/8/2025 14:10","Yes",1,2,"I used Racket and Netlogo in high school.","CDLL (Gopnik)","Freshman","March","NY","Soda",NA,"3 in",NA,"No",63,"soda"
"11",11,"5/8/2025 14:22","Maybe",4,4,"SPSS, Python","CDLL (Gopnik)","Senior","August","CA","Soda",NA,"4 in",NA,"Yes",64,"soda"
"12",12,"5/8/2025 14:44","Yes",2,4,"Python","CDLL (Gopnik)","Sophomore","November","CA","sodas","2 in",NA,NA,"No",50,"soda"
"13",13,"5/8/2025 18:27","Yes",3,3,"Python","CDLL (Gopnik)","Junior","June","CA","Soda",NA,"9 in",NA,"No",69,"soda"
"14",14,"5/8/2025 20:23","Yes",5,7,"JavaScript, Python, SQL, C","CDLL (Gopnik)","Senior","December","CA","Soda",NA,"4 in",NA,"No",64,"soda"
"15",15,"5/8/2025 21:03","Yes",2,5,"Python","CDLL (Gopnik)","Junior","March","CA","Soda",NA,"10 in",NA,"No",70,"soda"
"16",16,"5/9/2025 11:55","Yes",1,3,"SPSS, Python","CDLL (Gopnik)","Junior","February","NC","Soda",NA,"8 in",NA,"No",68,"soda"
"17",17,"5/9/2025 12:37","Yes",2,2,NA,"Idiographic Dynamics (Fisher), CALM (Johnson)","Senior","December","MD","Sodas",NA,"10 in",NA,"No",70,"soda"
"18",18,"5/10/2025 9:29","Yes",4,5,"JavaScript, Python","BELL (Xu)","Senior","March","Other","clipart of a variety of non-name brand pop drinks",NA,"8 in",NA,"No",68,"other"
"19",19,"5/11/2025 12:55","Yes",4,6,"SPSS, Python, C","CDLL (Gopnik)","Junior","September","WA","Soda / Refreshments",NA,"4 in",NA,"No",64,"soda"
"20",20,"5/11/2025 21:19","Yes",4,4,"Python","CDLL (Gopnik)","Junior","February","MN","Pop",NA,"5 in",NA,"No",65,"other"
"21",21,"5/12/2025 15:33","Yes",4,2,NA,"CDLL (Gopnik)","Junior","January","CA","carbonated beverages",NA,"3 in",NA,"No",63,"other"
"22",22,"5/14/2025 16:04","Yes",5,5,"I know one command in R for reading in SPSS files, and that's it. I also have a Python Bootcamp","I've worked/am working with a few PIs over the past couple of years (Aaron Fisher, Allison Harvey, Sheri Johnson, Hedy Kober) - also, for the next question, I'm a postbac student)","Senior","December","IL","soda",NA,NA,"6 in","No",78,"soda"
"23",23,"5/16/2025 11:15","Yes",1,5,"Python, SQL","Kidd Lab (Kidd)","Junior","August","CA","Soda",NA,"1 in",NA,"No",61,"soda"
"24",24,"5/20/2025 19:09","Yes",4,6,"Python, C, Java, MATLAB","Colala (Piantadosi)","Senior","November","Other","soda",NA,"2 in",NA,"Yes",62,"soda"
"25",25,"5/21/2025 11:15","Yes",4,6,"JavaScript, Python, SQL","Kidd Lab (Kidd)","Junior","June","CA","Soda",NA,"5 in",NA,"No",65,"soda"
"26",26,"5/21/2025 13:16","Yes",3,3,"JavaScript, SPSS, Python","LCD (Srinivasan)",NA,"November","CA","Soda",NA,"2 in",NA,"Yes",62,"soda"
"27",27,"5/21/2025 13:22","Yes",1,3,"Python, SQL","LCD (Srinivasan)","Junior","January","CA","Beverage Selection",NA,"2 in",NA,"No",62,"other"
"28",28,"5/21/2025 13:31","Yes",5,5,"Python, SQL","LCD (Srinivasan)","Senior","June","CA","Beverages",NA,"4 in",NA,"No",64,"other"
"29",29,"5/21/2025 13:33","Yes",4,3,NA,"LCD (Srinivasan)","Junior","January","CA","Beverages",NA,"4 in",NA,"No",64,"other"
"30",30,"5/21/2025 13:35","Yes",4,4,"Python","LCD (Srinivasan)","Freshman","November","CA","Soda",NA,"1 in",NA,"Yes",61,"soda"
"31",31,"5/21/2025 13:55","Yes",1,4,"SPSS","LCD (Srinivasan)","Junior","October","CA","Soda",NA,"3 in",NA,"Yes",63,"soda"
"32",32,"5/21/2025 14:29","Yes",1,1,NA,"LCD (Srinivasan)",NA,"April","CA","Soda",NA,"4 in",NA,"Yes",64,"soda"
"33",33,"5/21/2025 16:04","Yes",2,3,"Python","LCD (Srinivasan)","Freshman","August","Other","Soda",NA,"1 in",NA,"No",61,"soda"
"34",34,"5/21/2025 16:06","Yes",2,3,"Python","LCD (Srinivasan)","Freshman","August","Other","Soda",NA,"1 in",NA,"No",61,"soda"
"35",35,"5/21/2025 19:07","Yes",3,2,NA,"LCD (Srinivasan)","Senior","November","CA","Beverages",NA,"6 in",NA,"No",66,"other"
"36",36,"5/21/2025 19:20","Yes",4,4,NA,"LCD (Srinivasan)","Senior","January","GA","drinks",NA,"4 in",NA,"No",64,"other"
"37",37,"5/22/2025 14:34","Yes",4,3,"Python","ID Lab","Senior","September","Other","beverage",NA,"6 in",NA,"Yes",66,"other"
"38",38,"5/27/2025 12:31","Yes",5,4,"C++","Kidd Lab (Kidd)","Junior","February","Other","soft drinks",NA,"4 in",NA,"No",64,"other"
"39",39,"5/27/2025 13:22","Yes",3,3,NA,"Kidd Lab (Kidd)","Senior","October","Other","pop",NA,"8 in",NA,"No",68,"other"
"40",40,"5/29/2025 16:48","Yes",5,5,NA,"Social Origins (Engelmann)","Senior","December","MD","Soda",NA,"11 in",NA,"Yes",71,"soda"
"41",41,"5/29/2025 17:19","Yes",4,4,NA,"BELL (Xu)","Junior","May","NY","soda",NA,"2 in",NA,"No",62,"soda"
