penguin,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g_2007,body_mass_g_2008,sex,species
p1,39.1,18.7,186,3750,3500,female,Adelie
p2,39.5,17.4,188,3800,4300,male,Adelie
p3,40.3,18,190,3250,3450,female,Adelie
p4,NA,NA,200,NA,4050,male,Adelie
p5,36.7,19.3,187,3450,2900,female,Adelie
p6,39.3,20.6,191,3650,3700,male,Adelie
p7,38.9,17.8,186,3625,3550,female,Adelie
p8,39.2,19.6,193,4675,3800,male,Adelie
p9,34.1,18.1,181,3475,2850,female,Adelie
p10,42,20.2,194,4250,3750,male,Adelie
p11,37.8,17.1,185,3300,3150,female,Adelie
p12,37.8,17.3,195,3700,4400,male,Adelie
p13,41.1,17.6,185,3200,3600,female,Adelie
p14,38.6,21.2,192,3800,4050,male,Adelie
p15,34.6,21.1,184,4400,2850,female,Adelie
p16,36.6,17.8,192,3700,3950,male,Adelie
p17,38.7,19,195,3450,3350,female,Adelie
p18,42.5,20.7,188,4500,4100,male,Adelie
p19,34.4,18.4,190,3325,3050,female,Adelie
p20,46,21.5,198,4200,4450,male,Adelie
p21,37.8,18.3,190,3400,3600,female,Adelie
p22,37.7,18.7,190,3600,3900,male,Adelie
p23,35.9,19.2,196,3800,3550,female,Adelie
p24,38.2,18.1,197,3950,4150,male,Adelie
p25,38.8,17.2,190,3800,3700,female,Adelie
p26,35.3,18.9,195,3800,4250,male,Adelie
p27,40.6,18.6,191,3550,3700,female,Adelie
p28,40.5,17.9,184,3200,3900,male,Adelie
p29,37.9,18.6,187,3150,3550,female,Adelie
p30,40.5,18.9,195,3950,4000,male,Adelie
p31,39.5,16.7,189,3250,3200,female,Adelie
p32,37.2,18.1,196,3900,4700,male,Adelie
p33,39.5,17.8,187,3300,3800,female,Adelie
p34,40.9,18.9,193,3900,4200,male,Adelie
p35,36.4,17,191,3325,3350,female,Adelie
p36,39.2,21.1,194,4150,3550,male,Adelie
p37,38.8,20,190,3950,3800,male,Adelie
p38,42.2,18.5,189,3550,3500,female,Adelie
p39,37.6,19.3,189,3300,3950,male,Adelie
p40,39.8,19.1,190,4650,3600,female,Adelie
p41,36.5,18,202,3150,3550,female,Adelie
p42,40.8,18.4,205,3900,4300,male,Adelie
p43,36,18.5,185,3100,3400,female,Adelie
p44,44.1,19.7,186,4400,4450,male,Adelie
p45,37,16.9,187,3000,3300,female,Adelie
p46,39.6,18.8,208,4600,4300,male,Adelie
p47,41.1,19,190,3425,3700,female,Adelie
p48,37.5,18.9,196,2975,4350,male,Adelie
p49,36,17.9,178,3450,2900,female,Adelie
p50,42.3,21.2,192,4150,4100,male,Adelie
p153,46.1,13.2,220,4500,5150,female,Gentoo
p154,50,16.3,220,5700,5400,male,Gentoo
p155,48.7,14.1,213,4450,4950,female,Gentoo
p156,50,15.2,219,5700,5250,male,Gentoo
p157,47.6,14.5,208,5400,4350,female,Gentoo
p158,46.5,13.5,208,4550,5350,male,Gentoo
p159,45.4,14.6,208,4800,3950,female,Gentoo
p160,46.7,15.3,225,5200,5700,male,Gentoo
p161,43.3,13.4,210,4400,4300,female,Gentoo
p162,46.8,15.4,216,5150,4750,male,Gentoo
p163,40.9,13.7,222,4650,5550,male,Gentoo
p164,49,16.1,217,5550,4900,female,Gentoo
p165,45.5,13.7,210,4650,4200,female,Gentoo
p166,48.4,14.6,225,5850,5400,male,Gentoo
p167,45.8,14.6,213,4200,5100,female,Gentoo
p168,49.3,15.7,215,5850,5300,male,Gentoo
p169,42,13.5,210,4150,4850,female,Gentoo
p170,49.2,15.2,220,6300,5300,male,Gentoo
p171,46.2,14.5,210,4800,4400,female,Gentoo
p172,48.7,15.1,225,5350,5000,male,Gentoo
p173,50.2,14.3,217,5700,4900,female,Gentoo
p174,45.1,14.5,220,5000,5050,male,Gentoo
p175,46.5,14.5,208,4400,4300,female,Gentoo
p176,46.3,15.8,220,5050,5000,male,Gentoo
p177,42.9,13.1,208,5000,4450,female,Gentoo
p178,46.1,15.1,224,5100,5550,male,Gentoo
p179,44.5,14.3,208,4100,4200,female,Gentoo
p180,47.8,15,221,5650,5300,male,Gentoo
p181,48.2,14.3,214,4600,4400,female,Gentoo
p182,50,15.3,231,5550,5650,male,Gentoo
p183,47.3,15.3,219,5250,4700,female,Gentoo
p184,42.8,14.2,230,4700,5700,male,Gentoo
p185,45.1,14.5,214,5050,4650,NA,Gentoo
p186,59.6,17,229,6050,5800,male,Gentoo
p277,46.5,17.9,200,3500,3400,female,Chinstrap
p278,50,19.5,200,3900,3800,male,Chinstrap
p279,51.3,19.2,191,3650,3700,female,Chinstrap
p280,45.4,18.7,205,3525,4550,male,Chinstrap
p281,52.7,19.8,187,3725,3200,female,Chinstrap
p282,45.2,17.8,201,3950,4300,male,Chinstrap
p283,46.1,18.2,187,3250,3350,female,Chinstrap
p284,51.3,18.2,203,3750,4100,male,Chinstrap
p285,46,18.9,195,4150,3600,male,Chinstrap
p286,51.3,19.9,199,3700,3900,female,Chinstrap
p287,46.6,17.8,195,3800,3850,female,Chinstrap
p288,51.7,20.3,210,3775,4800,male,Chinstrap
p289,47,17.3,192,3700,2700,female,Chinstrap
p290,52,18.1,205,4050,4500,male,Chinstrap
p291,45.9,17.1,210,3575,3950,male,Chinstrap
p292,50.5,19.6,187,4050,3650,female,Chinstrap
p293,50.3,20,196,3300,3550,male,Chinstrap
p294,58,17.8,196,3700,3500,female,Chinstrap
p295,46.4,18.6,196,3450,3675,female,Chinstrap
p296,49.2,18.2,201,4400,4450,male,Chinstrap
p297,42.4,17.3,190,3600,3400,female,Chinstrap
p298,48.5,17.5,212,3400,4300,male,Chinstrap
p299,43.2,16.6,187,2900,3250,male,Chinstrap
p300,50.6,19.4,198,3800,3675,female,Chinstrap
p301,46.7,17.9,199,3300,3325,female,Chinstrap
p302,52,19,201,4150,3950,male,Chinstrap